Country or Area,M49 Code,ISO-apha3 code,NDP,Link
Mozambique,508,MOZ,YES,https://www.mef.gov.mz/index.php/publicacoes/estrategias/397-estrategia-nacional-de-desenvolvimento/file
Myanmar,104,MMR,YES,https://themimu.info/sites/themimu.info/files/documents/Core_Doc_Myanmar_Sustainable_Development_Plan_2018_-_2030_Aug2018.pdf
Namibia,516,NAM,YES,https://www.ecb.org.na/images/docs/Investor_Portal/NDP5.pdf
Nigeria,566,NGA,YES,https://nationalplanning.gov.ng/wp-content/uploads/2021/12/NDP-2021-2025_AA_FINAL_PRINTING.pdf
North Macedonia,807,MKD,YES,https://www.esiweb.org/pdf/macedonia_National_Development_Plan_2007-2009.pdf
Palau,585,PLW,YES,https://palau-data.sprep.org/dataset/palau-national-master-development-plan
Paraguay,600,PRY,YES,https://drive.google.com/file/d/1nYzKQrGsLnrtnDfvgn7gzkvFO_qwHfKD/view
Peru,604,PER,YES,https://observatorioplanificacion.cepal.org/sites/default/files/plan/files/PERU%20Plan%20Estrat%C3%A9gico%20de%20Desarrollo%20Nacional%20al%202050%20-%20versi%C3%B3n%20sin%20diagramar.pdf
Philippines,608,PHL,YES,https://pdp.neda.gov.ph/wp-content/uploads/2023/01/PDP-2023-2028.pdf
Sao Tome and Principe,678,STP,YES,https://financas.gov.st/phocadownload/Planeamento/publicacao/Plano%20Nacional%20de%20Desenvolvimento%20Sustentavel%20-%20STP%20-%202020-2024.pdf
Seychelles,690,SYC,YES,http://www.finance.gov.sc/uploads/files/Seychelles_National_Development_Strategy_2019_2023.pdf
Sierra Leone,694,SLE,YES,https://www.slurc.org/uploads/1/0/9/7/109761391/sierra_leone_national_development_plan.pdf
Somalia,706,SOM,YES,https://andp.unescwa.org/sites/default/files/2020-10/Somalia%20National%20Development%20Plan%202020%20to%202024.pdf
South Africa,710,ZAF,YES,https://www.gov.za/sites/default/files/gcis_document/201409/ndp-2030-our-future-make-it-workr.pdf
South Georgia and the South Sandwich Islands,239,SGS,YES,
South Sudan,728,SSD,YES,https://www.undp.org/sites/g/files/zskgke326/files/2022-07/Revized%20South%20Sudan%20NDS.pdf
State of Palestine,275,PSE,YES,https://andp.unescwa.org/sites/default/files/2021-06/National%20Development%20Plan%202021-2023_English.pdf
Syrian Arab Republic,760,SYR,YES,https://andp.unescwa.org/sites/default/files/2021-11/Syria_2020.pdf
Timor-Leste,626,TLS,YES,https://www.adb.org/sites/default/files/linked-documents/cobp-tim-2014-2016-sd-02.pdf
Togo,768,TGO,YES,http://togoembassylondon.com/wp-content/uploads/2019/04/PND-2018-2022-ANGLAIS-15.pdf
Trinidad and Tobago,780,TTO,YES,https://observatorioplanificacion.cepal.org/sites/default/files/plan/files/Trinidad_y_Tobago_Vision_%202030_2016_2030_tiny.pdf
Tunisia,788,TUN,YES,http://www.mdici.gov.tn/wp-content/uploads/2022/02/Canevasplansectoriel2023-2025.pdf
Türkiye,792,TUR,YES,https://en.unesco.org/creativity/sites/creativity/files/qpr/11_th_development_plan_of_turkey.pdf
Uganda,800,UGA,YES,http://www.npa.go.ug/wp-content/uploads/2020/08/NDPIII-Finale_Compressed.pdf
United Republic of Tanzania,834,TZA,YES,https://www.tro.go.tz/wp-content/uploads/2021/06/FYDP-III-English.pdf
Vanuatu,548,VUT,YES,https://www.nab.vu/sites/default/files/documents/Vanuatu%20Sustainable%20Dev.%20Plan%202030-EN_0.PDF
Viet Nam,704,VNM,YES,https://www.climate-laws.org/geographies/vietnam/policies/socio-economic-development-plan-for-2021-2025-decisions-no-16-2021-qh15-and-no-32-nq-cp
Zambia,894,ZMB,YES,https://www.sh.gov.zm/wp-content/uploads/2022/09/EIGHTH-NATIONAL-DEVELOPMENT-PLAN-2022-2026-05-07-2022.pdf
Zimbabwe,716,ZWE,YES,https://ilo.org/wcmsp5/groups/public/---africa/---ro-abidjan/---sro-harare/documents/publication/wcms_825100.pdf
